Success,ExecutionTime,Start Assignments,Found Assignments
True,220.47491598129272,24,81
False,169.52164316177368,25,25
True,208.4643018245697,25,81
False,163.93936467170715,26,27
True,220.06465911865234,26,81
True,222.8138177394867,27,81
False,174.06057500839233,25,25
False,166.70621514320374,24,26
True,214.34958505630493,26,81
False,169.92598795890808,25,27
False,165.17715883255005,26,27
False,164.73501992225647,27,27
True,225.33091497421265,26,81
False,175.24889397621155,24,26
False,174.4723699092865,25,30
False,165.84569001197815,26,26
False,168.3433871269226,25,27
True,223.08660984039307,24,81
False,163.4036910533905,24,24
True,215.40192317962646,25,81
True,215.2825150489807,24,81
True,217.2949538230896,26,81
False,165.80865788459778,25,28
True,216.45772075653076,25,81
False,154.52363514900208,26,28
False,158.28822112083435,24,24
False,165.84872603416443,23,24
False,168.9229109287262,25,27
True,210.27849817276,29,81
True,227.27137303352356,25,81
True,234.2176730632782,24,81
True,224.07730197906494,25,81
True,221.5418770313263,26,81
True,194.1968822479248,35,81
True,214.90222191810608,27,81
False,178.63312697410583,25,26
False,175.91467881202698,26,26
True,200.46591305732727,27,81
True,211.65218114852905,25,81
True,243.6427299976349,23,81
False,175.3399167060852,23,25
True,203.95292401313782,24,81
True,1899.4560708999634,24,81
True,214.4693078994751,25,81
False,187.19426202774048,25,40
False,167.70561408996582,24,26
True,230.4319281578064,25,81
False,173.73812413215637,25,25
False,167.06752109527588,24,25
True,211.6626169681549,25,81
False,154.9637439250946,27,27
False,201.25275897979736,25,27
True,215.52078580856323,23,81
False,155.42404294013977,25,25
False,241.96291494369507,24,24
True,9588.901089906693,25,81
True,370.06913900375366,25,81
False,275.6981110572815,25,36
True,384.7201819419861,25,81
True,427.45127511024475,28,81
True,683.7120180130005,24,81
False,576.1441040039062,25,25
True,2500.132355928421,25,81
False,306.83639907836914,24,24
False,294.50526309013367,24,26
True,347.8798670768738,25,81
False,260.3542230129242,24,24
True,322.6908850669861,35,81
False,369.443972826004,25,25
True,646.5646059513092,24,81
True,695.5080139636993,25,81
False,4376.401054859161,24,24
False,282.115562915802,25,27
False,243.5838541984558,25,29
True,414.8553831577301,23,81
False,434.9819951057434,25,25
True,580.6898849010468,28,81
True,652.9146070480347,26,81
False,522.8972747325897,24,26
True,1450.6101138591766,25,81
False,273.01348400115967,25,27
True,316.9141089916229,24,81
False,350.6867470741272,25,26
True,535.3533570766449,28,81
False,475.73252391815186,25,25
False,488.17094111442566,27,28
True,629.5769760608673,29,81
False,319.6086699962616,26,26
True,363.06149077415466,24,81
False,235.78639006614685,25,29
True,428.93480229377747,23,81
False,418.8299939632416,24,24
False,472.3662340641022,26,29
True,638.9785289764404,25,81
True,660.54625415802,25,81
False,311.66962909698486,24,25
False,268.6409878730774,26,33
False,148.97921776771545,25,26
True,209.13850092887878,25,81
False,1557.6457071304321,26,27
