,prod0,prod1,prod2,prod3,prod4,prod5,prod6,prod7,prod8,prod9
prod0,0.07978453038977358,0.006062198809345055,0.007830281149168245,-0.0032398467759595607,0.00021910191692171166,0.008357046424571846,-0.009129108434825823,0.013233986885836595,-0.013721193394639083,0.004658272049524673
prod1,0.006062198809345055,0.08160682667763042,-0.0036429516173136713,0.005485131154987939,-0.0009603466250807778,-0.005342378032171672,0.0070970243953530875,-0.0034974600711466697,-0.000505583948038869,0.007553916857639655
prod2,0.007830281149168245,-0.0036429516173136713,0.07955820162858368,-0.005611312238752518,-0.0013752334628831097,0.0009046805500522399,-0.005619344489542759,0.010319688843696287,0.0038534135528601565,-0.007532116122130581
prod3,-0.0032398467759595607,0.005485131154987939,-0.005611312238752518,0.08666445772946521,0.0013482427589817613,-0.006243462640096722,0.002416979015549125,-0.009288321786741214,0.005261839387045047,0.011634969501456883
prod4,0.00021910191692171166,-0.0009603466250807778,-0.0013752334628831097,0.0013482427589817613,0.08603708615062558,-0.0027538607538778563,-0.0029405619941967297,0.02159213673532892,0.018077487048636574,0.008846242754863018
prod5,0.008357046424571846,-0.005342378032171672,0.0009046805500522399,-0.006243462640096722,-0.0027538607538778563,0.07362360497538607,0.0015992547770884255,-0.0016798801293435015,-0.007350246028594146,0.006383577312522008
prod6,-0.009129108434825823,0.0070970243953530875,-0.005619344489542759,0.002416979015549125,-0.0029405619941967297,0.0015992547770884255,0.07119369560548404,0.0003221902794811994,0.013996053921076446,-0.003922227055745238
prod7,0.013233986885836595,-0.0034974600711466697,0.010319688843696287,-0.009288321786741214,0.02159213673532892,-0.0016798801293435015,0.0003221902794811994,0.08690895753660151,0.0076523517414349845,-0.008380514579576054
prod8,-0.013721193394639083,-0.000505583948038869,0.0038534135528601565,0.005261839387045047,0.018077487048636574,-0.007350246028594146,0.013996053921076446,0.0076523517414349845,0.0872759980455871,-0.0011890451106359502
prod9,0.004658272049524673,0.007553916857639655,-0.007532116122130581,0.011634969501456883,0.008846242754863018,0.006383577312522008,-0.003922227055745238,-0.008380514579576054,-0.0011890451106359502,0.08281383084242294
