Success,ExecutionTime,Start Assignments,Found Assignments
False,2.1851449012756348,24,12
False,2.1386539936065674,25,11
False,2.1130101680755615,25,11
False,2.100446939468384,26,11
False,2.0965261459350586,26,11
False,2.1041107177734375,27,11
False,2.095062017440796,25,11
False,2.1018660068511963,24,11
False,2.096619129180908,26,11
False,2.0965588092803955,25,11
False,2.114461898803711,26,11
False,2.1107261180877686,27,11
False,2.1062870025634766,26,11
False,2.090970993041992,24,11
False,2.1024692058563232,25,11
False,2.257111072540283,26,11
False,2.133462905883789,25,11
False,2.1070070266723633,24,11
False,2.1407365798950195,24,11
False,2.1028997898101807,25,11
False,2.098281145095825,24,11
False,2.171067953109741,26,11
False,2.1003150939941406,25,11
False,2.0985159873962402,25,11
False,2.1140708923339844,26,11
False,2.09768009185791,24,11
False,2.1002891063690186,23,11
False,2.1423380374908447,25,11
False,2.1295599937438965,29,11
False,2.2104063034057617,25,11
False,2.22696590423584,24,11
False,2.3274829387664795,25,11
False,2.207047939300537,26,11
False,2.282189130783081,35,11
False,2.227170944213867,27,11
False,2.125007152557373,25,11
False,2.1325159072875977,26,11
False,2.1188342571258545,27,11
False,2.1143970489501953,25,11
False,2.1225638389587402,23,11
False,2.1133549213409424,23,11
False,2.170430898666382,24,11
False,2.1532211303710938,24,11
False,2.1360278129577637,25,12
False,2.1407980918884277,25,11
False,2.157254934310913,24,11
False,2.139407157897949,25,11
False,2.0985100269317627,25,12
False,2.1010241508483887,24,11
False,2.1112499237060547,25,11
False,2.114914894104004,27,11
False,2.111690044403076,25,11
False,2.1074750423431396,23,11
False,2.1420068740844727,25,11
False,2.149977207183838,24,11
False,2.12701678276062,25,11
False,2.1313648223876953,25,12
False,2.122326135635376,25,11
False,2.1099679470062256,25,11
False,2.2409517765045166,28,11
False,2.2448439598083496,24,11
False,2.26031494140625,25,11
False,2.1731138229370117,25,12
False,2.3718819618225098,24,11
False,2.1021511554718018,24,12
False,2.1339190006256104,25,11
False,2.1324057579040527,24,12
False,2.1484580039978027,35,11
False,2.1211788654327393,25,11
False,2.3973729610443115,24,11
False,2.1314690113067627,25,11
False,2.1555042266845703,24,12
False,2.1188621520996094,25,12
False,2.140856981277466,25,11
False,2.11653995513916,23,11
False,2.1504781246185303,25,11
False,2.125789165496826,28,11
False,2.117717981338501,26,11
False,2.1258530616760254,24,11
False,2.1632699966430664,25,11
False,2.4816970825195312,25,12
False,2.3501319885253906,24,11
False,2.5437889099121094,25,11
False,2.733165979385376,28,11
False,2.4793269634246826,25,11
False,2.2435669898986816,27,11
False,2.4404730796813965,29,11
False,2.436532974243164,26,11
False,2.1139392852783203,24,11
False,2.12213397026062,25,11
False,2.1383719444274902,23,11
False,2.1348559856414795,24,11
False,2.119009017944336,26,11
False,2.113521099090576,25,11
False,2.2818052768707275,25,11
False,2.111143112182617,24,11
False,2.1241416931152344,26,11
False,2.1256299018859863,25,11
False,2.1160268783569336,25,11
False,2.118112087249756,26,11
